Description,ANGLE OF ATTACK - ALPHA (AOA),ANGLE OF SIDESLIP - BETHA (SDSLIP),1P STICK ROLL POSITION (POSAILECMD),LH AILERON DEFLECTION (POSAILLH),RH AILERON DEFLECTION (POSAILRH),ELEVATOR DEFLECTION (POSELEV),1P STICK PITCH POSITION (POSELEVCMD),RUDDER DEFLECTION (POSRUDD),1P PEDAL POSITION (POSRUDDCMD),LH FLAP DEFLECTION (FLAPLH),RH FLAP DEFLECTION (FLAPRH),ELEVATOR LONGITUDINAL FORCE STRAIN GAGE,AILERON LATERAL FORCE STRAIN GAGE,PITCH TRIM,ROLL TRIM,RUDDER TRIM
EU,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,kg,kg,deg,deg,deg
198:09:40:02.600,30.7446804,-30,0.864406765,-1.221869469,0.420324922,-19.15584373,15.12448406,7.233193398,-4.163327694,15.28041458,15.25872231,0.004561403,-0.074869111,-0.242156386,-0.173744872,2.741402149
198:09:40:02.700,30.75373459,-30,0.208474576,-2.184127092,1.33287251,-19.90538025,15.50914478,6.70168066,-4.009507656,15.27750492,15.26461887,0.264561415,0.428723395,-0.237348229,-0.175790966,2.754889488
198:09:40:02.800,30.77184296,-30,-0.30225563,-2.567901134,1.721396446,-19.77736473,15.3675518,6.607142925,-3.914770842,15.28041458,15.26019669,-0.004814815,0.248936176,-0.236474022,-0.179883167,2.727914572
198:09:40:02.900,30.77863312,-30,-0.293233097,-2.559435606,1.74213624,-19.66975975,15.41238976,6.953781605,-4.007470131,15.26877499,15.26609325,0.072982453,0.313475192,-0.239970863,-0.177837074,2.82532382
198:09:40:03.000,29.56994057,-30,-0.293233097,-2.261728287,1.625993729,-19.7606678,15.50914478,6.90336132,-3.233276844,15.23094654,15.26756763,0.50859648,0.269680858,-0.238659546,-0.175790966,2.741402149
198:09:40:03.100,30.79221344,-30,-0.284210533,-2.284303427,1.620463133,-19.49165154,15.28495598,6.123949528,-3,15.21930695,15.2734642,0.271403521,0.327304959,-0.237785339,-0.175790966,2.807340622
198:09:40:03.200,30.77863312,-30,-0.293233097,-2.377424955,1.671621203,-19.5287571,15.21887875,6.123949528,-2.923921347,15.22221661,15.27936077,0.129999995,0.375709206,-0.237785339,-0.179883167,2.849301577
198:09:40:03.300,30.77863312,-30,-0.320300758,-2.385890722,1.642585516,-19.64563942,15.34867287,6.119748116,-2.936411858,15.22221661,15.27936077,0.348947376,0.31117022,-0.238222435,-0.177837074,2.726416111
198:09:40:03.400,30.77863312,-30,-0.315789461,-2.400000095,1.646733522,-19.84415627,15.43834782,5.960083961,-2.894398212,15.22221661,15.28230953,0.351228058,0.308865249,-0.235599801,-0.181929275,2.723418951
198:09:40:03.500,30.77863312,-30,-0.311278194,-2.301234484,1.624611139,-19.78664207,15.36991119,5.98739481,-2.887585163,15.22221661,15.27788734,0.155087724,0.306560278,-0.237348229,-0.179883167,2.727914572
198:09:40:03.600,30.77863312,-30,-0.311278194,-2.347795486,1.627376437,-19.66233826,15.33215332,6.115546227,-2.981832027,15.22221661,15.27788734,0.289649129,0.276595742,-0.237348229,-0.177837074,2.772872686
198:09:40:03.700,30.77863312,-30,-0.311278194,-2.297001839,1.628759027,-19.35621452,15.1716814,6.54831934,-3.115110397,15.22221661,15.27936077,0.367192984,0.299645394,-0.238222435,-0.181929275,2.781864405
198:09:40:03.800,30.77863312,-30,-0.311278194,-2.343562603,1.635672331,-19.02783012,14.95457268,6.722689152,-3.173174858,15.22221661,15.27493858,-0.033703703,0.324999988,-0.240407959,-0.179883167,2.729413271
198:09:40:03.900,30.77863312,-30,-0.311278194,-2.390123367,1.646733522,-19.28014755,15.15044212,6.75,-3.168081522,15.22221661,15.27641296,0.246315792,0.327304959,-0.239970863,-0.177837074,2.726416111
198:09:40:04.000,30.77863312,-30,-0.311278194,-2.388712406,1.65088141,-19.18181801,15.02536869,6.634453773,-3.1548388,15.22221661,15.27641296,0.271403521,0.308865249,-0.238222435,-0.181929275,2.741402149
198:09:40:04.100,30.77863312,-30,-0.311278194,-2.356261015,1.643968225,-19.13358116,14.95457268,6.575630188,-3.103904963,15.22221661,15.27641296,0.152807012,0.322695047,-0.240845069,-0.175790966,2.73990345
198:09:40:04.200,30.77863312,-30,-0.311278194,-2.354850054,1.646733522,-19.14100266,14.97345161,6.619748116,-3.104923487,15.22221661,15.27198982,0.123157896,0.304255307,-0.236911118,-0.177837074,2.73990345
198:09:40:04.300,30.77863312,-30,-0.311278194,-2.336508036,1.634289622,-19.2894249,15.15044212,6.581932545,-3.110017061,15.22221661,15.26904202,0.323859662,0.304255307,-0.238222435,-0.175790966,2.741402149
198:09:40:04.400,30.77863312,-30,-0.311278194,-2.333686113,1.641202927,-19.43042755,15.23303795,6.542016983,-3.096774101,15.22221661,15.27788734,0.22807017,0.320390075,-0.237785339,-0.177837074,2.744399309
198:09:40:04.500,30.77863312,-30,-0.311278194,-2.347795486,1.635672331,-19.41187477,15.21179962,6.577731133,-3.095755577,15.22221661,15.27936077,0.296491235,0.306560278,-0.238222435,-0.175790966,2.741402149
198:09:40:04.600,30.77863312,-30,-0.311278194,-2.394356251,1.639820218,-19.22077942,15.04188824,6.773109436,-3.161969423,15.22221661,15.27788734,0.255438596,0.306560278,-0.239533752,-0.177837074,2.754889488
198:09:40:04.700,30.77863312,-30,-0.311278194,-2.376013994,1.643968225,-19.22077942,15.11740398,6.733193398,-3.172156096,15.22221661,15.27641296,0.287368417,0.308865249,-0.237785339,-0.179883167,2.748895168
198:09:40:04.800,30.77863312,-30,-0.306766927,-2.346384525,1.648116112,-19.21706772,14.99468994,6.722689152,-3.184380293,15.22512627,15.27641296,0.120877191,0.297340423,-0.238222435,-0.175790966,2.735407591
198:09:40:04.900,30.77863312,-30,-0.306766927,-2.35061717,1.666090608,-19.18738365,15.08908558,6.728991508,-3.180305719,15.23094654,15.27198982,0.198421046,0.31117022,-0.236911118,-0.179883167,2.73091197
198:09:40:05.000,30.77863312,-30,-0.30225563,-2.370370388,1.645350814,-19.51576996,15.25191784,6.59243679,-3.127334356,15.23676586,15.26904202,0.143684208,0.338829786,-0.240845069,-0.173744872,2.73990345
198:09:40:05.100,30.77863312,-30,-0.293233097,-2.435273409,1.65088141,-19.77551079,15.41002941,6.161764622,-2.981832027,15.23676586,15.26904202,0.171052635,0.329609931,-0.239970863,-0.175790966,2.73990345
198:09:40:05.200,30.77863312,-30,-0.293233097,-2.474779606,1.664707899,-19.39332008,15.15280247,5.75,-2.831945419,15.23676586,15.26756763,0.136842102,0.324999988,-0.238222435,-0.181929275,2.741402149
198:09:40:05.300,30.77863312,-30,-0.2887218,-2.455026388,1.64949882,-19.37291336,15.23775768,5.771008492,-2.812641859,15.23676586,15.2705164,0.285087705,0.318085104,-0.239096642,-0.175790966,2.74290061
198:09:40:05.400,30.77863312,-30,-0.297744364,-2.335097075,1.632907033,-19.37105751,15.16932106,5.672268867,-2.743376255,15.23094654,15.26756763,0.205263153,0.313475192,-0.240845069,-0.179883167,2.73990345
198:09:40:05.500,30.77863312,-30,-0.297744364,-2.390123367,1.652264118,-19.52690125,15.30383492,5.428571224,-2.654806852,15.23094654,15.2734642,0.330701768,0.336524814,-0.239096642,-0.177837074,2.726416111
198:09:40:05.600,30.77863312,-30,-0.293233097,-2.328042269,1.643968225,-19.17439651,15.03244877,4.963340282,-2.4606359,15.23094654,15.27641296,0.189298242,0.345744669,-0.241719276,-0.177837074,2.724917412
198:09:40:05.700,30.77863312,-30,-0.297744364,-2.37319231,1.643968225,-19.32096481,15.14572239,4.02240324,-2.093868256,15.22803688,15.27493858,0.139122814,0.31117022,-0.239533752,-0.173744872,2.729413271
198:09:40:05.800,30.77863312,-30,-0.315789461,-2.344973564,1.645350814,-19.32653046,15.08908558,2.631364584,-1.497728944,15.22803688,15.27641296,0.298771918,0.329609931,-0.238222435,-0.181929275,2.729413271
198:09:40:05.900,30.77863312,-30,-0.315789461,-2.367548466,1.638437629,-19.16140938,15.0371685,1.562118173,-1.105980277,15.22803688,15.27788734,0.271403521,0.297340423,-0.24128218,-0.177837074,2.723418951
198:09:40:06.000,30.77863312,-30,-0.311278194,-2.335097075,1.643968225,-19.15213394,15.09144497,1.067209721,-0.907267213,15.22803688,15.27198982,0.214385971,0.315780133,-0.240407959,-0.177837074,2.727914572
198:09:40:06.100,30.77863312,-30,-0.311278194,-2.352028131,1.635672331,-19.14471245,15.02064896,1.006109953,-0.843679011,15.22803688,15.27641296,0.200701758,0.329609931,-0.239096642,-0.181929275,2.741402149
