Description,ANGLE OF ATTACK - ALPHA (AOA),ANGLE OF SIDESLIP - BETHA (SDSLIP),1P STICK ROLL POSITION (POSAILECMD),LH AILERON DEFLECTION (POSAILLH),RH AILERON DEFLECTION (POSAILRH),ELEVATOR DEFLECTION (POSELEV),1P STICK PITCH POSITION (POSELEVCMD),RUDDER DEFLECTION (POSRUDD),1P PEDAL POSITION (POSRUDDCMD),LH FLAP DEFLECTION (FLAPLH),RH FLAP DEFLECTION (FLAPRH),ELEVATOR LONGITUDINAL FORCE STRAIN GAGE,AILERON LATERAL FORCE STRAIN GAGE,PITCH TRIM,ROLL TRIM,RUDDER TRIM
EU,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,kg,kg,deg,deg,deg
198:10:03:40.000,11.08382702,1.303775191,2.166101694,0.545943856,-1.624953628,-2.075036049,1.873999953,-1.956175327,0.528645813,-0.084657349,-0.070173763,0.894035101,1.623809576,-0.8274405,-5.08643198,4.667107105
198:10:03:40.100,11.10076237,1.400351167,2.689830542,0.875048041,-2.028964043,-1.93650794,1.743999958,-1.982071757,0.569010437,-0.084657349,-0.070173763,0.572456121,1.833779812,-0.826566279,-5.08643198,4.667107105
198:10:03:40.200,10.78746796,1.468393326,3.174657583,1.465590119,-2.624582291,-1.724386692,1.552000046,-2.035856485,0.638020813,-0.084657349,-0.070173763,0.348947376,1.993154764,-0.825692058,-5.082339764,4.667107105
198:10:03:40.300,10.44242191,1.685689211,3.904109478,2.179161787,-3.344968319,-1.608946562,1.465999961,-2.235059738,0.73046875,-0.084657349,-0.070173763,0.082105264,1.977976203,-0.825692058,-5.084385872,4.656616688
198:10:03:40.400,10.01270103,1.523266077,4.243150711,2.554402113,-3.683624268,-1.544011593,1.422000051,-2.438246965,0.888020813,-0.084657349,-0.070173763,0.107192986,2.031101227,-0.826129198,-5.088478088,4.668605328
198:10:03:40.500,9.805472374,1.854697108,4.279109478,2.591310978,-3.728184223,-1.507936478,1.411999941,-3.081673384,1.19921875,-0.084657349,-0.070173763,0.084385961,2.000744104,-0.826129198,-5.08643198,4.668605328
198:10:03:40.600,9.523300171,1.762511015,4.325342655,2.65897727,-3.795024157,-1.509379506,1.432000041,-3.19521904,1.235677123,-0.084657349,-0.071577236,0.029649124,2.018452406,-0.826129198,-5.088478088,4.670104027
198:10:03:40.700,9.17272377,1.720807672,4.376712322,2.672818184,-3.815818787,-1.419913411,1.287999988,-3.175298691,1.239583373,-0.084657349,-0.071577236,-0.103518516,1.990625024,-0.8274405,-5.08643198,4.653619289
198:10:03:40.800,9.010260582,1.8393327,4.386986256,2.620530605,-3.7994802,-1.408369422,1.241999984,-3.131474018,1.24609375,-0.084657349,-0.071577236,-0.274444431,1.628869057,-0.826129198,-5.08643198,4.668605328
198:10:03:40.900,8.653270721,1.870061517,4.191781044,2.445213318,-3.676197529,-1.365079403,1.233999968,-3.131474018,1.248697877,-0.084657349,-0.071577236,-0.182962969,1.391071439,-0.826566279,-5.08643198,4.667107105
198:10:03:41.000,8.259940147,1.815188766,3.878424644,2.177623987,-3.368733644,-1.350649357,1.340000033,-3.121513844,1.247395873,-0.084657349,-0.071577236,-0.057777777,1.299999952,-0.825692058,-5.088478088,4.667107105
198:10:03:41.100,8.078238487,1.766900778,3.755136967,2.045367241,-3.245451212,-1.354978323,1.322000027,-3.101593733,1.2421875,-0.084657349,-0.071577236,0.063859649,1.355654716,-0.826566279,-5.088478088,4.656616688
198:10:03:41.200,7.853783607,1.77129066,3.724315166,2.020761251,-3.197920561,-1.352092385,1.398000002,-3.107569695,1.23828125,-0.084657349,-0.072980717,0.123157896,1.426488042,-0.825254977,-5.088478088,4.668605328
198:10:03:41.300,7.81530571,1.85689199,3.708904028,2.022299051,-3.220200539,-1.425685406,1.40199995,-3.09760952,1.229166627,-0.084657349,-0.072980717,0.200701758,1.497321486,-0.825254977,-5.090524197,4.670104027
198:10:03:41.400,7.723386288,1.87445128,3.647260189,2.025374889,-3.19197917,-1.499278545,1.50999999,-3.091633558,1.221354127,-0.084657349,-0.072980717,0.328421056,1.456845284,-0.826566279,-5.088478088,4.655117989
198:10:03:41.500,7.676357269,1.602282763,3.498287678,1.982314467,-3.139992476,-1.529581547,1.588000059,-3.077689171,1.208333373,-0.084657349,-0.072980717,0.465263158,1.335416675,-0.826129198,-5.08643198,4.665608406
198:10:03:41.600,7.535271645,1.556189656,3.226027489,1.751634002,-2.893427372,-1.659451604,1.682000041,-3.055776834,1.205729127,-0.084657349,-0.072980717,0.684210539,1.127127647,-0.825692058,-5.088478088,4.667107105
198:10:03:41.700,7.509619713,1.63081646,2.867796659,1.339484811,-2.479019642,-1.759018779,1.784000039,-3.053784847,1.201822877,-0.084657349,-0.072980717,0.951052606,0.921985805,-0.824817896,-5.088478088,4.668605328
198:10:03:41.800,7.533133984,1.606672525,2.232203484,0.87812382,-2.011140108,-1.965367913,1.922000051,-3.049800873,1.203125,-0.084657349,-0.072980717,1.393804431,0.682269514,-0.826129198,-5.08643198,4.667107105
198:10:03:41.900,7.819581032,1.323529363,1.957627177,0.748942733,-1.890828013,-2.194805145,2.15199995,-3.023904324,1.203125,-0.084657349,-0.072980717,1.672749281,0.696099281,-0.825692058,-5.090524197,4.661112309
198:10:03:42.000,8.219324112,1.459613681,1.571186423,0.628988862,-1.764574766,-2.346320391,2.253999949,-3.029880524,1.19921875,-0.084657349,-0.072980717,1.78630209,0.40106383,-0.825692058,-5.082339764,4.667107105
198:10:03:42.100,8.345446587,1.369622469,1.138983011,0.14609766,-1.318975091,-2.316017389,2.190000057,-3.025896311,1.1953125,-0.084657349,-0.072980717,1.707308769,0.230496451,-0.824380755,-5.08643198,4.668605328
198:10:03:42.200,8.796494484,1.345478535,0.574576259,-0.514991164,-0.800594151,-2.341991425,2.242000103,-3.037848711,1.192708373,-0.084657349,-0.072980717,1.687560558,-0.045375217,-0.825692058,-5.084385872,4.667107105
198:10:03:42.300,9.104317665,1.226953506,0.147457629,-0.976366818,-0.303007811,-2.359307289,2.25999999,-3.059761047,1.19921875,-0.084657349,-0.072980717,1.744336843,0.041489363,-0.825692058,-5.088478088,4.668605328
198:10:03:42.400,9.63659668,1.457418799,0,-1.008818388,-0.253991842,-2.518037558,2.404000044,-3.059761047,1.19921875,-0.084657349,-0.072980717,1.966505289,0.013829787,-0.826129198,-5.080293655,4.667107105
198:10:03:42.500,9.946557999,1.367427588,-0.090225562,-1.039858937,-0.251021177,-2.559884548,2.361999989,-3.099601507,1.20703125,-0.084657349,-0.072980717,2.225701809,-0.07260035,-0.824817896,-5.08643198,4.661112309
198:10:03:42.600,10,1.194029808,-0.135338351,-1.07372129,-0.196063876,-2.633477688,2.50999999,-3.167330742,1.225260377,-0.084657349,-0.072980717,2.34419179,-0.099825479,-0.825254977,-5.090524197,4.670104027
198:10:03:42.700,10.02963543,0.928445995,-0.315789461,-1.190828919,-0.095061272,-2.698412657,2.552000046,-3.185258865,1.227864623,-0.084657349,-0.072980717,2.255324364,-0.304013968,-0.824380755,-5.090524197,4.670104027
198:10:03:42.800,10.1291275,0.849429309,-0.545864642,-1.484303355,0.149325952,-2.763347864,2.614000082,-3.179282904,1.234375,-0.084657349,-0.072980717,2.386156797,-0.367539257,-0.824817896,-5.088478088,4.668605328
198:10:03:42.900,10.20533466,0.706760287,-0.66315788,-1.6592592,0.275146902,-2.784992695,2.522000074,-3.205179214,1.231770873,-0.084657349,-0.072980717,2.077589512,-0.290401399,-0.826129198,-5.084385872,4.653619289
198:10:03:43.000,10.7684164,0.432396829,-0.672180474,-1.697354555,0.34289664,-2.702741623,2.542000055,-3.193227053,1.235677123,-0.084657349,-0.072980717,2.178799629,-0.152006984,-0.824817896,-5.084385872,4.670104027
198:10:03:43.100,10.89331055,0.309482008,-0.640601516,-1.732627869,0.355340481,-2.60028863,2.398000002,-3.19521904,1.23828125,-0.084657349,-0.072980717,2.028218746,-0.210994765,-0.825254977,-5.088478088,4.670104027
198:10:03:43.200,11.05842495,0.109745391,-0.568421066,-1.731216908,0.345661938,-2.564213514,2.338000059,-3.179282904,1.25,-0.084657349,-0.072980717,1.954162598,-0.095287956,-0.826129198,-5.084385872,4.662611008
198:10:03:43.300,11.27011013,0.21729587,-0.532330811,-1.721340418,0.365019023,-2.486291409,2.267999887,-3.163346529,1.24609375,-0.084657349,-0.072980717,1.559196472,-0.065794066,-0.836182594,-5.082339764,4.665608406
198:10:03:43.400,11.44792557,0,-0.473684222,-1.728395104,0.370549589,-2.305916309,2.155999899,-3.123506069,1.227864623,-0.084657349,-0.072980717,1.428364038,0.053014185,-0.847547352,-5.082339764,4.667107105
198:10:03:43.500,11.31668091,0,-0.473684222,-1.790476203,0.417559624,-2.23088026,2.101999998,-3.067728996,1.205729127,-0.084657349,-0.072980717,1.270350933,-0.192844674,-0.848421574,-5.084385872,4.667107105
198:10:03:43.600,11.32726479,0,-0.460150361,-1.801763654,0.418942273,-2.134199142,1.980000019,-3.015936136,1.182291627,-0.084657349,-0.072980717,1.115263104,-0.099825479,-0.85891211,-5.080293655,4.661112309
198:10:03:43.700,11.61303997,0,-0.410526305,-1.834215164,0.430003464,-2.092352152,2.016000032,-2.992031813,1.173177123,-0.084657349,-0.072980717,1.119824529,-0.02495637,-0.865905762,-5.094616413,4.671602726
198:10:03:43.800,11.51566505,0,-0.410526305,-1.852557302,0.454891115,-2.157287121,2.078000069,-2.950199127,1.15234375,-0.084657349,-0.072980717,1.286315799,0.059929077,-0.865905762,-5.092570305,4.671602726
198:10:03:43.900,11.65537643,0,-0.406015038,-1.8299824,0.445212573,-2.109668016,2.019999981,-2.90239048,1.139322877,-0.084657349,-0.072980717,1.391335964,0.152127653,-0.868528426,-5.063924789,4.662611008
198:10:03:44.000,11.69348049,-0.040391158,-0.193984956,-1.815873027,0.412029028,-2.099567175,1.960000038,-2.882470131,1.122395873,-0.084657349,-0.071577236,1.144912243,0.414893627,-0.886012614,-5.088478088,4.670104027
198:10:03:44.100,11.65114307,-0.048894558,-0.099248119,-1.77636683,0.402350515,-1.893217921,1.771999955,-2.862549782,1.115885377,-0.084657349,-0.071577236,0.960175455,0.426418453,-0.889509499,-5.090524197,4.662611008
198:10:03:44.200,11.57917023,0,-0.126315787,-1.763668418,0.406498432,-2.027416945,1.919999957,-2.830677271,1.106770873,-0.084657349,-0.071577236,1.222456098,0.31117022,-0.887761056,-5.092570305,4.671602726
198:10:03:44.300,11.39077091,0,-0.130827069,-1.717107534,0.373314887,-2.023087978,1.942000031,-2.826693296,1.1015625,-0.084657349,-0.071577236,1.18368423,0.449468076,-0.889072359,-5.090524197,4.671602726
198:10:03:44.400,11.38018608,-0.006377551,-0.07218045,-1.700176358,0.366401672,-1.959595919,1.914000034,-2.832669258,1.098958373,-0.084657349,-0.071577236,1.128947377,0.465602845,-0.889072359,-5.090524197,4.662611008
198:10:03:44.500,11.0753603,0,-0.054135337,-1.666313887,0.349809885,-1.956709981,1.815999985,-2.832669258,1.100260377,-0.084657349,-0.071577236,1.147192955,0.345744669,-0.88994658,-5.084385872,4.667107105
198:10:03:44.600,10.87002563,0,-0.081203006,-1.650793672,0.341513991,-2.004328966,1.952000022,-2.80478096,1.091145873,-0.084657349,-0.071577236,1.249824524,0.343439728,-0.888198137,-5.088478088,4.670104027
198:10:03:44.700,10.88272667,0,-0.099248119,-1.650793672,0.335983396,-2.033189058,1.988000035,-2.786852598,1.087239623,-0.084657349,-0.071577236,1.38146174,0.354964525,-0.896940291,-5.088478088,4.667107105
198:10:03:44.800,10.80440331,0,-0.099248119,-1.683245182,0.315243691,-2.004328966,1.861999989,-2.796812773,1.080729127,-0.084657349,-0.071577236,1.108421087,0.285815597,-0.899999976,-5.084385872,4.668605328
198:10:03:44.900,10.65198994,0,0,-1.639506221,0.287590742,-1.911976933,1.789999962,-2.784860611,1.083333373,-0.084657349,-0.071577236,0.770877182,0.479432613,-0.899999976,-5.090524197,4.668605328
198:10:03:45.000,10.67950916,0,0.030508475,-1.611287475,0.269616306,-1.845598817,1.835999966,-2.788844585,1.083333373,-0.084657349,-0.071577236,0.925964892,0.394148946,-0.899999976,-5.090524197,4.670104027
198:10:03:45.100,10.68797588,0.116330117,0.030508475,-1.636684299,0.284825444,-1.913419962,1.789999962,-2.784860611,1.083333373,-0.084657349,-0.071577236,0.99666667,0.412588656,-0.899999976,-5.088478088,4.671602726
198:10:03:45.200,11.18755245,0.05926251,0.086440675,-1.618342161,0.283442795,-1.835497856,1.710000038,-2.792828798,1.078125,-0.084657349,-0.071577236,0.697894752,0.428723395,-0.899999976,-5.090524197,4.656616688
198:10:03:45.300,11.02878952,0,0.162711859,-1.602821827,0.254407197,-1.718614697,1.664000034,-2.772908449,1.080729127,-0.084657349,-0.071577236,0.554210544,0.40106383,-0.899999976,-5.08643198,4.670104027
198:10:03:45.400,10.82768822,0.01975417,0.157627121,-1.544973493,0.239198059,-1.717171669,1.667999983,-2.782868624,1.078125,-0.084657349,-0.071577236,0.6545614,0.497872353,-0.899999976,-5.08643198,4.673101425
198:10:03:45.500,10.99280262,0.177787527,0.188135594,-1.566137552,0.188040093,-1.89466095,1.825999975,-2.786852598,1.079427123,-0.084657349,-0.071577236,0.827894747,0.502482295,-0.899999976,-5.088478088,4.656616688
198:10:03:45.600,11.03302288,0.068042144,0.27966103,-1.592945337,0.241963357,-1.748917699,1.65199995,-2.794820786,1.076822877,-0.084657349,-0.071577236,0.433333337,0.354964525,-0.899999976,-5.090524197,4.659614086
198:10:03:45.700,11.03090572,0.162423179,0.371186435,-1.543562651,0.188040093,-1.525252581,1.460000038,-2.776892424,1.076822877,-0.084657349,-0.071577236,0.303333342,0.41950354,-0.899999976,-5.092570305,4.668605328
198:10:03:45.800,10.70491123,0.197541699,0.376271188,-1.550617337,0.192188039,-1.55844152,1.592000008,-2.778884411,1.078125,-0.084657349,-0.071577236,0.291929811,0.387234032,-0.899999976,-5.090524197,4.668605328
198:10:03:45.900,10.41490269,0.384108871,0.376271188,-1.522398591,0.182509512,-1.549783587,1.465999961,-2.770916224,1.075520873,-0.084657349,-0.071577236,0.30105263,0.350354612,-0.899999976,-5.08643198,4.670104027
198:10:03:46.000,10.32387829,0.487269521,0.376271188,-1.55343914,0.204631865,-1.470418453,1.496000051,-2.772908449,1.07421875,-0.084657349,-0.071577236,0.214385971,0.366489351,-0.899999976,-5.090524197,4.668605328
198:10:03:46.100,10.345047,0.557506561,0.376271188,-1.526631355,0.17144832,-1.481962442,1.526000023,-2.772908449,1.069010377,-0.084657349,-0.071577236,0.221228063,0.359574467,-0.899999976,-5.088478088,4.668605328
198:10:03:46.200,10.19263363,0.515803337,0.376271188,-1.494179845,0.174213618,-1.496392488,1.526000023,-2.762948275,1.067708373,-0.084657349,-0.071577236,0.266842097,0.380319148,-0.899999976,-5.088478088,4.668605328
198:10:03:46.300,10.05927181,0.550921857,0.376271188,-1.528042316,0.200483933,-1.493506551,1.501999974,-2.770916224,1.065104127,-0.084657349,-0.071577236,0.287368417,0.359574467,-0.899999976,-5.088478088,4.668605328
198:10:03:46.400,10.16934776,0.432396829,0.376271188,-1.509700179,0.176978916,-1.535353541,1.527999997,-2.7470119,1.05859375,-0.084657349,-0.071577236,0.25999999,0.368794322,-0.899999976,-5.088478088,4.655117989
198:10:03:46.500,10.17569828,0.344600528,0.376271188,-1.552028179,0.174213618,-1.487734437,1.518000007,-2.7470119,1.057291627,-0.084657349,-0.071577236,0.278245628,0.341134757,-0.899999976,-5.092570305,4.667107105
198:10:03:46.600,10,0.634328365,0.376271188,-1.525220513,0.17144832,-1.533910513,1.470000029,-2.735059738,1.049479127,-0.084657349,-0.071577236,0.218947366,0.348049641,-0.899999976,-5.090524197,4.667107105
198:10:03:46.700,10,0.43459174,0.376271188,-1.484303355,0.172830969,-1.50505054,1.44599998,-2.721115589,1.046875,-0.084657349,-0.071577236,0.28052631,0.364184409,-0.899999976,-5.088478088,4.670104027
198:10:03:46.800,10,0.478489906,0.376271188,-1.501234531,0.178361565,-1.499278545,1.54400003,-2.727091551,1.037760377,-0.084657349,-0.071577236,0.155087724,0.373404264,-0.899999976,-5.088478088,4.668605328
198:10:03:46.900,10,0.419227391,0.376271188,-1.505467415,0.182509512,-1.447330475,1.411999941,-2.691235065,1.033854127,-0.084657349,-0.071577236,0.200701758,0.428723395,-0.899999976,-5.096662521,4.671602726
198:10:03:47.000,9.833262444,0.311676919,0.5440678,-1.482892394,0.150708601,-1.383838415,1.322000027,-2.70119524,1.032552123,-0.084657349,-0.071577236,0.009122807,0.463297874,-0.899999976,-5.094616413,4.668605328
198:10:03:47.100,9.79692173,0.39947322,0.61016947,-1.449030042,0.127203599,-1.301587343,1.25,-2.687251091,1.032552123,-0.084657349,-0.071577236,-0.113148145,0.518617034,-0.899999976,-5.092570305,4.670104027
198:10:03:47.200,9.77554512,0.20851624,0.61016947,-1.441975355,0.102315933,-1.320346355,1.31400001,-2.681274891,1.029947877,-0.084657349,-0.071577236,-0.064999998,0.534751773,-0.899999976,-5.092570305,4.670104027
198:10:03:47.300,9.888841629,0.469710261,0.605084717,-1.454673767,0.129968897,-1.350649357,1.39199996,-2.671314716,1.02734375,-0.084657349,-0.071577236,-0.043333333,0.490957439,-0.899999976,-5.084385872,4.668605328
198:10:03:47.400,9.811885834,0.507023692,0.605084717,-1.441975355,0.111994468,-1.287157297,1.261999965,-2.665338755,1.024739623,-0.084657349,-0.071577236,-0.091481484,0.433333337,-0.899999976,-5.092570305,4.670104027
198:10:03:47.500,9.807610512,0.3643547,0.605084717,-1.423633099,0.109229177,-1.305916309,1.271999955,-2.659362555,1.020833373,-0.084657349,-0.071577236,-0.067407407,0.444858164,-0.899999976,-5.092570305,4.668605328
198:10:03:47.600,9.583155632,0.263388932,0.605084717,-1.402469158,0.117525063,-1.362193346,1.381999969,-2.65537858,1.018229127,-0.084657349,-0.071577236,-0.012037037,0.495567381,-0.899999976,-5.092570305,4.668605328
198:10:03:47.700,9.506198883,0.579455674,0.61016947,-1.419400334,0.107846528,-1.277056336,1.246000051,-2.651394367,1.016927123,-0.084657349,-0.071577236,-0.089074075,0.546276569,-0.899999976,-5.094616413,4.667107105
198:10:03:47.800,9.395040512,0.463125557,0.620338976,-1.405290961,0.080193572,-1.290043235,1.34800005,-2.625498056,1.009114623,-0.084657349,-0.071577236,-0.026481481,0.569326222,-0.899999976,-5.08643198,4.668605328
198:10:03:47.900,9.442069054,0.535557508,0.645762742,-1.372839451,0.064984448,-1.295815349,1.335999966,-2.623506069,1.005208373,-0.084657349,-0.071577236,0.05017544,0.51170212,-0.899999976,-5.090524197,4.668605328
198:10:03:48.000,9.377939224,0.52019316,0.645762742,-1.358730197,0.059453852,-1.291486263,1.40199995,-2.599601507,1.005208373,-0.084657349,-0.071577236,0.129999995,0.477127671,-0.899999976,-5.078247547,4.670104027
198:10:03:48.100,9.313809395,0.452151,0.635593235,-1.323456764,0.044244729,-1.365079403,1.422000051,-2.587649345,1,-0.084657349,-0.071577236,0.189298242,0.449468076,-0.899999976,-5.090524197,4.670104027
198:10:03:48.200,9.335186005,0.340210706,0.620338976,-1.331922412,0.047010023,-1.40981245,1.462000012,-2.60358572,0.9921875,-0.084657349,-0.071577236,0.221228063,0.426418453,-0.899999976,-5.090524197,4.668605328
198:10:03:48.300,9.486960411,0.526777864,0.600000024,-1.346031785,0.051157966,-1.432900429,1.404000044,-2.59760952,0.990885437,-0.084657349,-0.071577236,0.32157895,0.451773047,-0.899999976,-5.090524197,4.668605328
198:10:03:48.400,9.604532242,0.370939434,0.61016947,-1.320634961,0.034566194,-1.477633476,1.425999999,-2.595617533,0.990885437,-0.084657349,-0.071577236,0.216666669,0.553191483,-0.899999976,-5.090524197,4.668605328
198:10:03:48.500,9.76913166,0.410447747,0.630508482,-1.29805994,0.023505012,-1.486291528,1.514000058,-2.605577707,0.990885437,-0.084657349,-0.071577236,0.328421056,0.608510613,-0.899999976,-5.090524197,4.668605328
198:10:03:48.600,9.690038681,0.702370524,0.696610153,-1.25573194,0,-1.44155848,1.485999942,-2.593625546,0.990885437,-0.084657349,-0.071577236,0.319298238,0.684574485,-0.899999976,-5.092570305,4.664109707
198:10:03:48.700,9.672937393,0.272168577,0.747457623,-1.203527331,-0.031191979,-1.427128434,1.373999953,-2.593625546,0.990885437,-0.084657349,-0.071577236,0.241754383,0.698404253,-0.899999976,-5.08643198,4.667107105
198:10:03:48.800,9.542539597,0.561896384,0.777966082,-1.217636704,-0.051986631,-1.385281444,1.432000041,-2.595617533,0.990885437,-0.084657349,-0.071577236,0.196140349,0.649999976,-0.899999976,-5.092570305,4.670104027
198:10:03:48.900,9.705001831,0.425812125,0.798305094,-1.164021134,-0.066839956,-1.366522312,1.35800004,-2.595617533,0.990885437,-0.084657349,-0.071577236,0.184736848,0.661524832,-0.899999976,-5.088478088,4.652121067
198:10:03:49.000,9.581017494,0.449956089,0.813559294,-1.168254018,-0.066839956,-1.461760521,1.45599997,-2.595617533,0.9921875,-0.084657349,-0.071577236,0.237192988,0.636170208,-0.899999976,-5.088478088,4.667107105
198:10:03:49.100,9.613082886,0.465320468,0.798305094,-1.186596155,-0.068325289,-1.427128434,1.388000011,-2.587649345,0.994791687,-0.084657349,-0.071577236,0.218947366,0.484042555,-0.899999976,-5.088478088,4.667107105
198:10:03:49.200,9.598118782,0.340210706,0.732203364,-1.206349254,-0.075751953,-1.428571463,1.432000041,-2.585657358,0.993489563,-0.084657349,-0.071577236,0.285087705,0.403368801,-0.899999976,-5.084385872,4.667107105
198:10:03:49.300,9.604532242,0.406057954,0.716949165,-1.221869469,-0.04455997,-1.451659441,1.5,-2.593625546,0.989583313,-0.084657349,-0.071577236,0.314736843,0.361879438,-0.899999976,-5.088478088,4.668605328
198:10:03:49.400,9.589568138,0.480684817,0.681355953,-1.224691391,-0.050501298,-1.430014372,1.407999992,-2.59760952,0.98828125,-0.084657349,-0.071577236,0.326140344,0.338829786,-0.899999976,-5.094616413,4.658115387
198:10:03:49.500,9.653697968,0.566286206,0.681355953,-1.209171057,-0.046045303,-1.438672423,1.407999992,-2.579681158,0.986979187,-0.084657349,-0.071577236,0.282807022,0.357269496,-0.899999976,-5.090524197,4.667107105
198:10:03:49.600,9.702864647,0.722124696,0.6762712,-1.209171057,-0.023765318,-1.448773503,1.463999987,-2.587649345,0.985677063,-0.084657349,-0.071577236,0.28052631,0.359574467,-0.899999976,-5.084385872,4.667107105
198:10:03:49.700,9.709277153,0.708955228,0.6762712,-1.233156919,-0.041589305,-1.458874464,1.480000019,-2.581673384,0.985677063,-0.084657349,-0.071577236,0.262280703,0.359574467,-0.899999976,-5.088478088,4.667107105
198:10:03:49.800,9.747755051,0.673836708,0.6762712,-1.224691391,-0.046045303,-1.454545498,1.452000022,-2.581673384,0.985677063,-0.084657349,-0.071577236,0.234912276,0.394148946,-0.899999976,-5.090524197,4.668605328
198:10:03:49.900,9.784095764,0.741878867,0.6762712,-1.241622567,-0.04455997,-1.44300139,1.407999992,-2.585657358,0.984375,-0.084657349,-0.071577236,0.289649129,0.375709206,-0.899999976,-5.088478088,4.670104027
198:10:03:50.000,9.77554512,0.913081646,0.6762712,-1.18095243,-0.049015969,-1.458874464,1.427999973,-2.577689171,0.981770813,-0.084657349,-0.071577236,0.241754383,0.391843975,-0.899999976,-5.08643198,4.667107105
198:10:03:50.100,9.771269798,0.719929755,0.6762712,-1.238800764,-0.022279985,-1.484848499,1.447999954,-2.575697184,0.98046875,-0.084657349,-0.071577236,0.289649129,0.391843975,-0.899999976,-5.092570305,4.668605328
198:10:03:50.200,9.779820442,0.713345051,0.6762712,-1.224691391,-0.040103972,-1.444444418,1.429999948,-2.583665371,0.977864563,-0.084657349,-0.071577236,0.275964916,0.380319148,-0.899999976,-5.082339764,4.668605328
198:10:03:50.300,9.801197052,0.886742771,0.6762712,-1.216225743,-0.047530636,-1.430014372,1.452000022,-2.573705196,0.97265625,-0.084657349,-0.071577236,0.205263153,0.396453887,-0.899999976,-5.090524197,4.655117989
198:10:03:50.400,9.779820442,0.992098331,0.6762712,-1.216225743,-0.038618639,-1.461760521,1.434000015,-2.571713209,0.966145813,-0.084657349,-0.071577236,0.234912276,0.366489351,-0.899999976,-5.090524197,4.667107105
198:10:03:50.500,9.784095764,0.76382792,0.6762712,-1.221869469,-0.050501298,-1.487734437,1.503999949,-2.555776834,0.955729187,-0.084657349,-0.071577236,0.269122809,0.366489351,-0.899999976,-5.084385872,4.665608406
198:10:03:50.600,9.801197052,0.906496942,0.6762712,-1.204938293,-0.031191979,-1.418470383,1.473999977,-2.54581666,0.942708313,-0.084657349,-0.071577236,0.184736848,0.387234032,-0.899999976,-5.08643198,4.665608406
198:10:03:50.700,9.79692173,0.948200166,0.6762712,-1.204938293,-0.03713331,-1.44155848,1.416000009,-2.541832685,0.94921875,-0.084657349,-0.071577236,0.262280703,0.357269496,-0.899999976,-5.090524197,4.656616688
198:10:03:50.800,9.816161156,0.992098331,0.6762712,-1.230335116,-0.031191979,-1.458874464,1.417999983,-2.543824673,0.932291687,-0.084657349,-0.071577236,0.255438596,0.343439728,-0.899999976,-5.088478088,4.667107105
198:10:03:50.900,9.705001831,0.994293213,0.6762712,-1.240211606,-0.038618639,-1.445887446,1.493999958,-2.525896311,0.920572937,-0.084657349,-0.071577236,0.241754383,0.359574467,-0.899999976,-5.088478088,4.668605328
198:10:03:51.000,9.664386749,0.862598777,0.6762712,-1.220458508,-0.032677311,-1.448773503,1.411999941,-2.501991987,0.8828125,-0.084657349,-0.071577236,0.205263153,0.375709206,-0.899999976,-5.092570305,4.668605328
198:10:03:51.100,9.643010139,0.891132593,0.6762712,-1.192239881,-0.06386929,-1.428571463,1.5,-2.442231178,0.869791687,-0.084657349,-0.071577236,0.262280703,0.389539003,-0.899999976,-5.088478088,4.658115387
198:10:03:51.200,9.698589325,0.908691823,0.681355953,-1.209171057,-0.054957297,-1.404040456,1.404000044,-2.440238953,0.8359375,-0.084657349,-0.071577236,0.187017545,0.389539003,-0.899999976,-5.065970898,4.671602726
198:10:03:51.300,9.739204407,0.908691823,0.681355953,-1.228924155,-0.023765318,-1.49494946,1.465999961,-2.418326616,0.850260437,-0.084657349,-0.071577236,0.289649129,0.371099293,-0.899999976,-5.063924789,4.674600124
198:10:03:51.400,9.722103119,1.00746274,0.681355953,-1.234567881,-0.013367991,-1.471861482,1.427999973,-2.400398493,0.84765625,-0.084657349,-0.071577236,0.22807017,0.366489351,-0.899999976,-5.059832573,4.674600124
198:10:03:51.500,9.756305695,0.943810344,0.6762712,-1.268430352,-0.01930932,-1.461760521,1.468000054,-2.372509956,0.8515625,-0.084657349,-0.071577236,0.287368417,0.375709206,-0.899999976,-5.068017006,4.676098347
198:10:03:51.600,9.745617867,0.932835817,0.6762712,-1.230335116,-0.023765318,-1.46320343,1.49000001,-2.370517969,0.84375,-0.084657349,-0.071577236,0.244035095,0.373404264,-0.899999976,-5.070063114,4.674600124
198:10:03:51.700,9.715690613,0.888937652,0.6762712,-1.224691391,-0.057927962,-1.450216413,1.399999976,-2.382470131,0.841145813,-0.084657349,-0.071577236,0.257719308,0.361879438,-0.899999976,-5.065970898,4.676098347
198:10:03:51.800,9.715690613,1.00746274,0.6762712,-1.235978842,-0.020794652,-1.375180364,1.404000044,-2.388446331,0.84375,-0.084657349,-0.071577236,0.237192988,0.361879438,-0.899999976,-5.065970898,4.661112309
198:10:03:51.900,9.679349899,0.926251113,0.6762712,-1.240211606,-0.028221315,-1.451659441,1.491999984,-2.386454105,0.848958313,-0.084657349,-0.071577236,0.221228063,0.366489351,-0.899999976,-5.068017006,4.673101425
